acamar,315,13.4,40,13.3,S
achernar,335,22.0,57,7.9,S
acrux,173,2.7,63,12.9,S
adhara,255,7.4,29,0.1,S
albireo,67,6.4,28,0.3,N
aldebaran,290,42.2,16,33.2,N
alioth,166,15.3,55,50.2,N
alkaid,152,54.1,49,12.0,N
almak,328,41.3,42,26.2,N
al nair,27,36.4,46,51.5,S
alnilam,275,39.9,1,11.3,S
alphard,217,49.9,8,45.2,S
alphecca,126,6.1,26,38.4,N
alpheratz,357,37.4,29,12.8,N
altair,62,2.7,8,55.6,N
ankaa,353,9.7,42,11.5,S
antares,112,19.2,26,28.7,S
arcturus,145,50.3,19,4.0,N
atria,107,16.2,69,3.8,S
avior,234,15.1,59,34.6,S
bellatrix,278,25.2,6,22.1,N
betelgeu.,270,54.4,7,24.6,N
canopus,263,52.9,52,42.5,S
capella,280,25.1,46,1.2,N
castor,245,59.8,31,50.3,N
cor caroli,165,44.4,38,11.8,N
deneb,49,27.9,45,21.6,N
denebola,182,27.4,14,26.9,N
diphda,348,49.8,17,52.2,S
dubhe,193,43.8,61,37.7,N
elnath,278,4.6,28,37.5,N
eltanin,90,43.9,51,29.1,N
enif,33,41.5,9,58.5,N
fomalhaut,15,17.5,29,30.6,S
gacrux,171,54.3,57,13.8,S
gienah,175,46.1,17,39.7,S
hadar,148,39.7,60,28.4,S
hamal,327,53.8,23,34.0,N
kaus aust.,83,36.2,34,22.4,S
kochab,137,20.5,74,3.7,N
markab,13,32.5,15,19.4,N
menkar,314,8.5,4,10.5,N
menkent,148,0.6,36,28.4,S
merak,194,12.6,56,15.7,N
miaplacidus,221,37.8,69,48.2,S
mirfak,308,31.4,49,56.4,N
mizar,158,48.1,54,48.4,N
nunki,75,51.2,26,16.2,S
peacock,53,10.2,56,40.0,S
phact,274,53.1,34,3.8,S
pollux,243,20.0,27,58.3,N
procyon,244,53.1,5,10.1,N
rasalhague,96,1.2,12,32.6,N
regulus,207,36.9,11,51.6,N
rigel,281,5.9,8,10.7,S
saiph,272,47.9,9,39.8,S
schedar,349,33.8,56,39.7,N
scheddi,32,56.7,16,1.8,S
shaula,96,14.1,37,7.1,S
sirius,258,28.1,16,44.8,S
spica,158,25.0,11,16.4,S
suhail,222,47.7,43,31.1,S
vega,80,35.3,38,48.2,N
polaris,314,54.7,89,21.6,N
